github.com/AlDanial/cloc v 1.76  T=1.01 s (178.0 files/s, 14608.3 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                    blank        comment           code
-------------------------------------------------------------------------------------------------------------------------------------------
.\resources\views\admin\ocr\index.blade.php                                                               132             12           1256
.\resources\views\admin\cotizaciones\create.blade.php                                                      47             13            410
.\resources\views\admin\alertas\index.blade.php                                                            22              4            407
.\resources\views\layouts\app.blade.php                                                                    44             22            339
.\resources\views\admin\usuarios\create.blade.php                                                          38             17            333
.\resources\views\dashboard.blade.php                                                                      30             13            296
.\resources\views\welcome.blade.php                                                                         7              5            265
.\resources\views\admin\alertas\pdf.blade.php                                                              21              5            246
.\resources\views\admin\cotizaciones\pdf.blade.php                                                         35              6            231
.\resources\views\admin\reportes\vencidos_pdf.blade.php                                                    16              4            213
.\resources\views\admin\cotizaciones\index.blade.php                                                       26             20            210
.\resources\views\admin\reportes\ventas.blade.php                                                          11              3            210
ocr_service\venv\app.py                                                                                    45             32            205
.\resources\views\admin\reportes\historial_bajas_pdf.blade.php                                             17              4            185
.\resources\views\admin\productos\pdf.blade.php                                                            17              4            177
.\app\Http\Controllers\Admin\CotizacionController.php                                                      41             11            163
.\resources\views\auth\login.blade.php                                                                     19             11            161
.\resources\views\admin\usuarios\edit.blade.php                                                            18              8            157
.\tests\Feature\Admin\OcrControllerTest.php                                                                23             30            151
.\app\Http\Controllers\Admin\OcrController.php                                                             28             25            150
.\routes\web.php                                                                                           46             44            142
.\resources\views\admin\inventario\pdf.blade.php                                                           17              0            140
.\resources\views\admin\cotizaciones\show.blade.php                                                        13              7            132
.\resources\views\auth\password-change.blade.php                                                            9              0            122
.\config\database.php                                                                                      22             43            119
.\resources\views\admin\productos\edit.blade.php                                                           16              5            109
.\resources\views\admin\productos\create.blade.php                                                         16              5            108
.\resources\views\admin\inventario\index.blade.php                                                          6              4            107
.\tests\Feature\Admin\InventarioControllerTest.php                                                         23              9            104
.\resources\views\admin\historial_bajas\index.blade.php                                                     8              1             98
.\tests\Feature\Admin\MedicamentoControllerTest.php                                                        20              9             93
.\resources\views\admin\productos\index.blade.php                                                           6              4             87
.\resources\views\admin\reportes\ventas_pdf.blade.php                                                       6              0             84
.\resources\views\admin\inventario\create.blade.php                                                        14              5             80
.\resources\views\layouts\navigation.blade.php                                                             12              9             79
.\config\logging.php                                                                                       20             33             79
.\app\Services\InventarioService.php                                                                       20             10             77
.\tests\Feature\ProfileTest.php                                                                            23              0             76
.\resources\views\admin\medicamentos\importar.blade.php                                                    12              3             75
.\resources\views\components\modal.blade.php                                                                3              0             75
.\tests\Unit\AlertaServiceTest.php                                                                         16              6             71
.\resources\views\admin\usuarios\index.blade.php                                                            6              3             70
.\app\Http\Controllers\Admin\ProductoController.php                                                        15              1             70
.\resources\views\admin\historial_bajas\pdf.blade.php                                                       2              0             68
.\resources\views\admin\ocr\historial.blade.php                                                             6              3             66
.\config\queue.php                                                                                         19             45             65
.\resources\views\admin\clientes\index.blade.php                                                            6              3             64
.\config\cache.php                                                                                         18             35             64
.\resources\views\admin\clientes\edit.blade.php                                                            14              6             61
.\app\Http\Controllers\Admin\InventarioController.php                                                      15              2             59
.\app\Http\Controllers\ProfileController.php                                                               18             15             59
.\app\Services\MedicamentoService.php                                                                      14              1             59
.\app\Http\Controllers\Admin\ReporteController.php                                                         15              2             59
.\config\mail.php                                                                                          18             43             57
.\resources\views\profile\partials\update-profile-information-form.blade.php                               10              0             54
.\resources\views\admin\clientes\create.blade.php                                                          13              5             53
.\app\Http\Requests\Auth\LoginRequest.php                                                                  13             21             52
.\tests\Feature\Auth\PasswordResetTest.php                                                                 21              0             52
.\resources\views\admin\medicamentos\index.blade.php                                                        6              3             50
.\app\Console\Commands\ImportarLiname.php                                                                  12              3             49
.\database\migrations\0001_01_01_000002_create_jobs_table.php                                               5              6             46
.\resources\views\profile\partials\delete-user-form.blade.php                                              10              0             45
.\app\Http\Controllers\Admin\ClienteController.php                                                          9              0             44
.\app\Models\User.php                                                                                       9              5             44
.\app\Http\Controllers\Admin\UserController.php                                                             9              0             44
.\app\Services\AlertaService.php                                                                            8              0             44
.\database\migrations\0001_01_01_000000_create_users_table.php                                              5              0             43
.\routes\auth.php                                                                                          16              0             43
.\app\Http\Controllers\Admin\MedicamentoController.php                                                      8              0             43
.\tests\Feature\Auth\EmailVerificationTest.php                                                             15              0             43
.\app\Http\Controllers\Auth\NewPasswordController.php                                                       7             14             42
.\app\Models\Cotizacion.php                                                                                 9              2             42
.\app\Models\Inventario.php                                                                                10              2             42
.\resources\views\profile\partials\update-password-form.blade.php                                           7              0             41
.\tests\Feature\Auth\PasswordUpdateTest.php                                                                10              0             41
.\tests\Feature\Auth\AuthenticationTest.php                                                                14              0             40
